"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2012","121","PM2.5","Long Beach (South)","06-037-4004","AQS","43","36","40","121","78"
"01/02/2012","63","PM2.5","Reseda","06-037-1201","AQS","19","35","22","63","48"
"01/03/2012","80","PM2.5","Long Beach (South)","06-037-4004","AQS","36","29","38","80","77"
"01/04/2012","78","PM2.5","Long Beach (North)","06-037-4002","AQS","40","31","50","78","76"
"01/05/2012","67","PM2.5","Long Beach (South)","06-037-4004","AQS","27","29","31","67","58"
"01/06/2012","86","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","38","37","42","86","64"
"01/07/2012","114","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","28","47","40","114","45"
"01/08/2012","86","PM2.5","Long Beach (North)","06-037-4002","AQS","31","44","54","86","46"
"01/09/2012","67","PM2.5","Long Beach (North)","06-037-4002","AQS","36","33","34","67","52"
"01/10/2012","75","PM2.5","Long Beach (North)","06-037-4002","AQS","28","26","36","75","56"
"01/11/2012","90","PM2.5","Long Beach (North)","06-037-4002","AQS","24","31","51","90","69"
"01/12/2012","95","PM2.5","Long Beach (South)","06-037-4004","AQS","30","36","49","95","67"
"01/13/2012","72","NO2","Long Beach (Hudson)","06-037-4006","AQS","27","37","34","67","72"
"01/14/2012","80","PM2.5","Long Beach (South)","06-037-4004","AQS","27","29","45","80","60"
"01/15/2012","84","PM2.5","Long Beach (North)","06-037-4002","AQS","44","43","35","84","46"
"01/16/2012","69","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","9","37","23","69","43"
"01/17/2012","68","PM2.5","Long Beach (North)","06-037-4002","AQS","18","39","31","68","51"
"01/18/2012","82","PM2.5","Long Beach (North)","06-037-4002","AQS","24","42","43","82","50"
"01/19/2012","92","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","30","43","44","92","60"
"01/20/2012","94","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","20","38","44","94","46"
"01/21/2012","61","PM2.5","Glendora","06-037-0016","AQS","9","38","24","61","40"
"01/22/2012","75","PM2.5","Reseda","06-037-1201","AQS","13","40","29","75","34"
"01/23/2012","71","PM2.5","Reseda","06-037-1201","AQS","15","35","19","71","34"
"01/24/2012","70","PM2.5","Long Beach (North)","06-037-4002","AQS","20","35","25","70","47"
"01/25/2012","64","PM2.5","Compton","06-037-1302","AQS","33","33","25","64","52"
"01/26/2012","62","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","45","28","25","62","54"
"01/27/2012","64","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","26","42","25","64","53"
"01/28/2012","71","PM2.5","Compton","06-037-1302","AQS","24","40","26","71","48"
"01/29/2012","54","PM2.5","Long Beach (South)","06-037-4004","AQS","28","40","16","54","44"
"01/30/2012","64","PM2.5","Burbank","06-037-1002","AQS","28","31","25","64","51"
"01/31/2012","83","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","17","36","28","83","45"
"02/01/2012","95","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","19","40","43","95","49"
"02/02/2012","104","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","13","43","38","104","48"
"02/03/2012","70","PM2.5","Long Beach (North)","06-037-4002","AQS","22","38","33","70","51"
"02/04/2012","54","PM2.5","Burbank","06-037-1002","AQS","20","44","17","54","46"
"02/05/2012","57","PM2.5","Long Beach (North)","06-037-4002","AQS","26","46","17","57","46"
"02/06/2012","61","PM2.5","Long Beach (South)","06-037-4004","AQS","17","42","25","61","56"
"02/07/2012","63","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","37","20","63","50"
"02/08/2012","59","PM2.5","Burbank","06-037-1002","AQS","15","44","22","59","45"
"02/09/2012","58","PM2.5","Long Beach (South)","06-037-4004","AQS","18","40","31","58","53"
"02/10/2012","66","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","20","38","27","66","43"
"02/11/2012","67","PM2.5","Glendora","06-037-0016","AQS","8","37","21","67","31"
"02/12/2012","63","PM2.5","Reseda","06-037-1201","AQS","9","39","15","63","27"
