State,State-County,POLLUTANT,Emissions (Tons),Pollutant Type,SCC Code,EIS Sector,Source Description,SCC LEVEL 1,SCC LEVEL 2,SCC LEVEL 3,SCC LEVEL 4,EPA Region,FIPS
California,CA-Los Angeles,Carbon Monoxide,115.86670,CAP,2203510080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Refuse Truck,All on and off-network processes except refueling,9,06037
California,CA-Los Angeles,Methane,95.25947,GHG,2203510080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Refuse Truck,All on and off-network processes except refueling,9,06037
California,CA-Los Angeles,Nitrogen Oxides,90.80436,CAP,2203510080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Refuse Truck,All on and off-network processes except refueling,9,06037
California,CA-Los Angeles,Volatile Organic Compounds,3.78766,CAP,2203510080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Refuse Truck,All on and off-network processes except refueling,9,06037
California,CA-Los Angeles,PM10 Primary (Filt + Cond),2.69453,CAP,2203510080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Refuse Truck,All on and off-network processes except refueling,9,06037
California,CA-Los Angeles,Ammonia,2.15993,CAP,2203510080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Refuse Truck,All on and off-network processes except refueling,9,06037
California,CA-Los Angeles,PM2.5 Primary (Filt + Cond),1.11961,CAP,2203510080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Refuse Truck,All on and off-network processes except refueling,9,06037
California,CA-Los Angeles,Naphthalene,0.04076,HAP,2203510080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Refuse Truck,All on and off-network processes except refueling,9,06037
California,CA-Los Angeles,2-Methylnaphthalene,0.02069,HAP,2203510080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Refuse Truck,All on and off-network processes except refueling,9,06037
California,CA-Los Angeles,1-Methylnaphthalene,0.01066,HAP,2203510080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Refuse Truck,All on and off-network processes except refueling,9,06037
California,CA-Los Angeles,Formaldehyde,0.00219,HAP,2203510080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Refuse Truck,All on and off-network processes except refueling,9,06037
California,CA-Los Angeles,Manganese,0.00163,HAP,2203510080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Refuse Truck,All on and off-network processes except refueling,9,06037
